iteration,norm,normB
409,2.1907023257781838e-16,4.3885418357208765e-17
410,1.3467309827192353e-16,5.003707553108401e-17
411,9.15302969408735e-17,4.163336342344337e-17
412,1.665605565426296e-16,4.3885418357208765e-17
413,1.6807134082344961e-16,8.092071311423672e-17
414,1.5531346546082258e-16,4.163336342344337e-17
415,1.4844814426439735e-16,3.1031676915590914e-17
416,1.3086531311755562e-16,5.551115123125783e-17
417,1.5833569148474776e-16,3.1031676915590914e-17
418,2.07319414625728e-16,3.1031676915590914e-17
419,1.0131438570349398e-16,6.509259464525837e-17
420,7.654436623743477e-17,7.97218214573518e-17
421,1.3003485324562914e-16,4.3885418357208765e-17
422,1.1652384351680995e-16,1.962615573354719e-17
423,2.943923360032078e-17,2.7755575615628914e-17
424,1.122622112448529e-16,2.7755575615628914e-17
425,1.1374019759220412e-16,6.359601310784502e-17
426,1.9986995776840656e-16,4.3885418357208765e-17
427,1.2082196458155953e-16,5.551115123125783e-17
428,3.0576438925723166e-16,6.509259464525837e-17
429,2.569441119007922e-16,6.206335383118183e-17
430,1.1210126175528405e-16,3.1031676915590914e-17
431,1.496293273509629e-16,6.359601310784502e-17
432,1.0614466625631893e-16,5.721958498152797e-17
433,5.708795475201205e-17,0.0
434,1.085415799667634e-16,2.7755575615628914e-17
435,2.2030305172320775e-16,9.614813431917819e-17
436,1.8328238104593343e-16,1.1274368112207335e-16
437,1.2318979709644706e-16,4.3885418357208765e-17
438,1.0614466625631893e-16,4.163336342344337e-17
439,9.694295371764825e-17,5.721958498152797e-17
440,2.5169038289662465e-16,4.3885418357208765e-17
441,3.2024329741404473e-16,3.1031676915590914e-17
442,1.6037516189916664e-16,4.163336342344337e-17
443,1.1594131773753171e-16,4.3885418357208765e-17
444,1.4400294727220669e-16,2.7755575615628914e-17
445,9.614813431917819e-17,4.3885418357208765e-17
446,1.6956866519670965e-16,6.938893903907228e-17
447,1.3544180565943598e-16,6.798699777552591e-17
448,1.6213865591180214e-16,6.938893903907228e-17
449,2.4292942692843585e-16,3.1031676915590914e-17
450,1.505915837461035e-16,4.163336342344337e-17
451,1.1210126175528405e-16,5.003707553108401e-17
452,2.474764074240494e-16,2.7755575615628914e-17
453,1.457167719820518e-16,4.163336342344337e-17
454,1.0408340855860843e-16,4.3885418357208765e-17
455,1.392541099125946e-16,2.7755575615628914e-17
456,9.236486236945213e-17,4.3885418357208765e-17
457,1.409616272185721e-16,6.509259464525837e-17
458,9.731474013949074e-17,6.509259464525837e-17
459,1.3467309827192353e-16,3.1031676915590914e-17
460,2.293183710006371e-16,1.1188630228279524e-16
461,2.4352329654354703e-16,1.1527756336890508e-16
462,1.4475329337125808e-16,4.163336342344337e-17
463,3.0046291974743185e-18,1.3877787807814457e-17
464,8.687484083189725e-17,2.7755575615628914e-17
465,2.34592088871013e-16,3.3993498887762956e-17
466,1.1161702077978488e-16,4.163336342344337e-17
467,1.511002899984082e-16,4.163336342344337e-17
468,1.370321748998225e-16,6.359601310784502e-17
469,1.317933256502103e-16,6.509259464525837e-17
470,1.3821294308381867e-16,7.97218214573518e-17
471,2.3275697085695485e-16,1.2566871346510768e-16
472,2.6181684379064513e-16,8.554842949272357e-17
473,1.249000902703301e-16,3.1031676915590914e-17
474,7.007939324928157e-17,2.7755575615628914e-17
475,6.96270549562973e-17,0.0
476,2.4778628851080007e-16,4.163336342344337e-17
477,1.391243901732968e-16,2.7755575615628914e-17
478,1.2318979709644706e-16,5.003707553108401e-17
479,1.6135726025092563e-16,3.1031676915590914e-17
480,1.2315314982593618e-16,3.1031676915590914e-17
481,8.434396085126873e-17,0.0
482,2.7537881465400968e-17,1.3877787807814457e-17
483,5.3832357492452147e-17,4.3885418357208765e-17
484,2.0818850003140693e-16,3.3993498887762956e-17
485,1.4080142529476082e-16,3.925231146709438e-17
486,1.409616272185721e-16,1.3877787807814457e-17
487,2.5125959031230223e-16,4.163336342344337e-17
488,1.4926688194013378e-16,3.1031676915590914e-17
489,2.126292676102948e-16,4.3885418357208765e-17
490,2.31492981972618e-16,1.0385185452638061e-16
491,1.9610816805269131e-16,9.205483015737869e-17
